,Family Size,Living with parents?,Mother Edu,Father Edu,Parent Income,Commute time,Avg study time,Educational support,Extra-curricular,Higher studies,Internet at home?,Tuition count,Health,Avg leaves,Performance,Self Awareness,Self Regulation,Motivation,Empathy,Social Skills,Extroverted,Intuitive,Thinking,Perceiving,IX,X,XI,XII,Female,Male,Other means of travel,Travel by Bus,Travel by auto-rikshaw,Travel by car,Travel by walk
0,0.3,1,0.8,0.8,0.6,0.8,0.2,1,0.2,1,1,0.8,0.8,1.0,47.6666666667,0.4666666666666667,0.7333333333333333,0.5333333333333333,0.6,0.6,0.1875,0.0625,0.125,0.375,1,0,0,0,1,0,0,0,1,0,0
1,0.7,1,0.2,0.2,0.6,0.8,0.6,1,0.8,1,1,0.6,0.4,0.4,97.0,0.26666666666666666,0.5333333333333333,0.4666666666666667,0.4666666666666667,0.26666666666666666,0.25,0.0,-0.125,-0.125,1,0,0,0,1,0,1,0,0,0,0
2,0.6,1,0.2,0.4,0.4,0.6,0.6,1,0.2,-1,1,0.6,0.2,0.4,37.6666666667,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.0625,-0.1875,0.0625,0.0,1,0,0,0,1,0,0,0,1,0,0
3,0.4,1,0.8,0.8,0.4,0.6,0.2,-1,0.2,1,1,0.2,0.2,0.6,77.6666666667,0.26666666666666666,0.6666666666666666,0.4666666666666667,0.4666666666666667,0.4,-0.125,0.125,-0.375,-0.0625,1,0,0,0,1,0,0,0,1,0,0
4,0.7,1,0.4,0.6,0.4,0.4,0.6,-1,0.2,1,1,0.2,0.4,0.2,81.3333333333,0.26666666666666666,0.6,0.6666666666666666,0.3333333333333333,0.4666666666666667,0.25,-0.375,0.0,-0.3125,1,0,0,0,1,0,0,0,1,0,0
5,0.6,1,0.4,0.6,0.4,0.6,0.6,1,0.2,1,1,1.0,0.4,0.6,76.0,0.4,0.6666666666666666,0.6666666666666666,0.4,0.4666666666666667,0.4375,-0.125,-0.125,0.25,1,0,0,0,1,0,0,0,1,0,0
9,0.4,1,0.4,0.8,0.2,0.6,0.4,1,0.6,1,1,0.6,0.4,0.2,70.8333333333,0.4,0.9333333333333333,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.125,0.125,-0.125,0.1875,1,0,0,0,1,0,0,0,1,0,0
11,1.0,1,0.6,0.0,0.4,0.8,0.2,1,0.2,1,1,1.0,0.8,0.6,9.666666666669999,0.4,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.6,-0.625,-0.0625,-0.0625,0.4375,1,0,0,0,1,0,0,0,1,0,0
12,0.5,1,0.6,0.6,0.4,0.8,0.2,1,0.2,1,1,0.8,0.6,0.8,42.8333333333,0.3333333333333333,0.6666666666666666,0.8666666666666667,0.6,0.7333333333333333,0.125,0.0,-0.5625,0.1875,1,0,0,0,1,0,0,0,1,0,0
14,0.4,1,0.6,0.8,0.4,0.6,0.4,1,0.2,1,1,1.0,0.4,0.4,51.8333333333,0.3333333333333333,0.6,0.6,0.4666666666666667,0.4666666666666667,0.25,-0.125,0.3125,0.0625,1,0,0,0,1,0,0,0,1,0,0
